ZipCode,Latitude,Longitude
33174,25.7649,-80.3602
33175,25.7405,-80.4092
33176,25.6506,-80.3616
33177,25.5983,-80.4023
33178,25.8825,-80.3388
33179,25.9570,-80.1885
33180,25.9636,-80.1418
33181,25.9458,-80.1599
33182,25.7948,-80.3966
33183,25.7078,-80.4167
33184,25.7524,-80.4169
33185,25.7276,-80.4048
33186,25.6773,-80.4004
33189,25.5627,-80.3459
33193,25.7013,-80.4329
33196,25.6574,-80.4452
02101,42.3703,-71.0281
02108,42.3597,-71.0637
02109,42.3649,-71.0534
02110,42.3584,-71.0527
02111,42.3507,-71.0563
02113,42.3658,-71.0548
02114,42.3618,-71.0693
02115,42.3412,-71.0904
02116,42.3503,-71.0810
02118,42.3378,-71.0706
02119,42.3233,-71.0826
02120,42.3297,-71.0997
02121,42.3057,-71.0829
02122,42.2943,-71.0481
02124,42.2848,-71.0730
02125,42.3190,-71.0611
02126,42.2690,-71.1467
02127,42.3382,-71.0443
02128,42.3546,-70.9886
02129,42.3770,-71.0633
02130,42.3156,-71.1248
02131,42.2851,-71.1254
02132,42.2792,-71.1567
02134,42.3532,-71.1471
02135,42.3503,-71.1504
02136,42.2519,-71.1279
02138,42.3779,-71.1189
02139,42.3626,-71.1010
02140,42.3885,-71.1407
02141,42.3702,-71.0842
02142,42.3626,-71.0843
02143,42.3793,-71.0994
02144,42.4006,-71.1218
02145,42.3938,-71.0949
02148,42.4054,-71.0186
02149,42.3886,-71.0577
02150,42.4176,-71.0794
02151,42.3992,-71.0438
02152,42.3739,-71.0189
02155,42.4413,-71.1815
02163,42.3554,-71.1415
19019,40.0682,-75.2179
19102,39.9526,-75.1652
19103,39.9555,-75.1681
19104,39.9615,-75.1975
19106,39.9510,-75.1490
19107,39.9481,-75.1647
19111,40.0614,-75.0874
19114,40.0700,-75.0206
19115,40.0907,-75.0521
19116,40.1144,-75.0066
19118,40.0754,-75.2017
19119,40.0535,-75.1789
19120,40.0357,-75.1176
19121,39.9800,-75.1738
19122,39.9801,-75.1543
19123,39.9655,-75.1469
19124,40.0113,-75.0958
19125,39.9766,-75.1274
19126,40.0539,-75.1404
19127,40.0275,-75.2171
19128,40.0487,-75.2253
19129,40.0097,-75.1786
19130,39.9668,-75.1714
19131,39.9848,-75.2250
19132,39.9972,-75.1629
19133,39.9931,-75.1370
19134,39.9932,-75.1108
19135,40.0252,-75.0509
19136,40.0398,-75.0255
19137,40.0127,-75.0600
19138,40.0571,-75.1530
19139,39.9616,-75.2300
19140,40.0120,-75.1424
19141,40.0350,-75.1396
19142,39.9235,-75.2346
19143,39.9440,-75.2287
19144,40.0355,-75.1708
19145,39.9190,-75.1844
19146,39.9338,-75.1774
19147,39.9303,-75.1519
19148,39.9179,-75.1586
19149,40.0402,-75.0750
19150,40.0714,-75.1686
19151,39.9755,-75.2593
19152,40.0547,-75.0488
19153,39.9087,-75.2510
19154,40.0897,-75.0013
73301,30.2695,-97.7475
73344,30.2672,-97.7431
78701,30.2735,-97.7429
78702,30.2626,-97.7270
78703,30.2813,-97.7709
78704,30.2485,-97.7650
78705,30.2935,-97.7404
78712,30.2849,-97.7341
78717,30.5116,-97.8177
78719,30.1638,-97.7931
78721,30.2618,-97.7121
78722,30.2827,-97.7215
78723,30.2936,-97.7027
78724,30.2810,-97.6397
78725,30.2132,-97.6513
78726,30.4198,-97.8598
78727,30.4394,-97.7117
78728,30.4683,-97.6873
78729,30.4531,-97.7784
78730,30.3462,-97.8389
78731,30.3396,-97.7630
78732,30.3791,-97.9112
78733,30.3019,-97.8863
78734,30.3778,-98.0046
78735,30.2431,-97.8541
78736,30.2594,-97.9346
78737,30.1584,-97.9720
78738,30.3386,-97.9689
78739,30.2012,-97.9127
78741,30.2359,-97.7094
78742,30.2365,-97.6719
78744,30.1946,-97.7630
78745,30.2259,-97.7990
78746,30.2780,-97.8044
78747,30.1438,-97.8285
78748,30.1781,-97.8555
78749,30.2245,-97.8647
78750,30.4621,-97.8168
78751,30.3091,-97.7233
78752,30.3225,-97.7130
78753,30.3577,-97.6737
78754,30.3335,-97.6579
78756,30.3144,-97.7440
78757,30.3409,-97.7419
78758,30.3754,-97.7072
78759,30.4057,-97.7456
